id,name,lat,lon,rest_count
1367,Sint-Jozefkerk,50.9550175600,4.1827981260,47
1518,Jongenstehuis Don Bosco,51.1720701800,4.5432360100,47
1695,Mariakapel,51.0148955700,4.2280308810,47
1789,Sint-Stephanuskerk,50.9385559400,4.3060616740,47
1805,Pius X,50.8412650500,3.2689679090,47
1981,Sint-Pharaïldiskerk,50.9661981700,3.9277249130,47
2145,Sint-Amanduskerk,51.0201219500,4.2433308420,47
50,Onze-Lieve-Vrouw-van-Zeven-Weeën-en-Sint-Jozefkerk,51.0049461800,4.0155669790,46
417,Sint-Jozefkerk,51.0270684200,4.2940190860,46
466,Sint-Margrietkerk,51.0541364700,4.1067672480,46
472,Onze-Lieve-Vrouw-Hemelvaartkerk,51.0093790000,4.0615806630,46
604,Sint-Martinuskerk,50.9574438500,3.9020925590,46
630,Sint-Veronuskerk,50.7136394700,4.2236922280,46
715,Sint-Pieters-Bandenkerk,50.9009278600,4.0450663300,46
802,Sint-Janskerk,50.8291118900,3.2811966730,46
1373,Sint-Christoffelkerk,51.0016390700,4.3021683220,46
1572,Sint-Niklaaskerk,51.0643089800,4.3616754140,46
1663,Sint-Jan-Berchmanskerkje,51.0685125500,5.4167809650,46
1953,Sint-Machariuskerk,50.9536562800,3.9315271430,46
2378,Sint-Apolloniakerk,51.0291708100,4.0545584390,46
73,0,50.8952539200,4.0434798320,45
77,0,50.8747332600,3.9890183480,45
116,Sint-Amanduskerk,50.9667656300,5.2831538240,45
132,Sint-Rochuskerk,50.8199692100,3.2701511490,45
145,Sint-Amanduskerk,51.0563072200,4.3722878410,45
216,0,50.8184112800,3.2578786140,45
294,Sint-Petrus en Pauluskerk,51.1292814200,4.3359257630,45
373,0,51.0530716500,4.3556075260,45
553,0,50.8263804900,3.2773756250,45
554,Sint-Elooiskerk,50.8334345000,3.2597406590,45
747,0,50.8278978200,3.2705026920,45
757,Sint-Elisabethkerk,50.8191314400,3.2819633890,45
904,Sint-Jozefskerk,50.9491088400,5.2732427520,45
918,Sacramentskapel,50.9567955000,5.2801437030,45
1098,0,51.1195214500,4.3333409380,45
1239,0,50.8310291100,3.2633515280,45
1242,Church of Our Lady,50.8290796600,3.2674457400,45
1243,Damiaankerk,50.8223339600,3.2593351060,45
1420,Sint-Servatiuskerk,50.9305367000,4.5406860430,45
1463,Onze-Lieve-Vrouwkerk,50.9417017400,4.5490053140,45
1515,Sint-Jozefkerk,50.9459818500,4.5830747220,45
1522,Sint-Stephanuskerk,50.9189678200,4.5648003510,45
1584,0,50.8158655800,3.2622134280,45
1593,Sint-Michielskerk,50.8282367700,3.2629756680,45
1642,Sint-Jan-de-Doperkerk,51.0340123500,4.3593094750,45
1704,"Guldensporencollege, campus Kaai",50.8331095200,3.2634392570,45
1753,Sint-Rumolduskerk,50.9670935500,4.3799867370,45
2143,Kapel Sint-Jozef-Ambachtsman,51.0565582100,4.3644806650,45
2194,0,50.7907510500,3.2500851610,45
2195,Sint-Maartenskerk,50.8275678700,3.2683491630,45
2200,0,50.8282122000,3.2674941210,45
2204,0,50.8281451900,3.2718690310,45
125,Sint-Niklaaskerk,51.0959804000,3.8336940690,44
152,Sint-Gorikskerk,50.9021998900,4.0056873050,44
192,Sint-Katharinakerk,51.0891211200,4.3312630200,44
275,Sint-Vincentiuskerk,50.7409670400,4.2501516870,44
718,Onze-Lieve-Vrouw Middelareskerk,51.1123644700,3.8128560750,44
773,0,50.8751896000,4.0143634540,44
1264,0,50.8238467300,3.2989223500,44
1605,Sint-Amanduskerk,50.8716850500,4.0185981550,44
1662,0,50.9097371000,3.9904447790,44
2499,Sint-Niklaaskerk,50.8706131800,4.0824902650,44
49,Sint-Daniëlkerk,51.0797698400,3.8787177980,43
161,0,50.8857246700,4.5492680140,43
350,Don Boscokerk,50.7472579900,4.2653164010,43
689,Sint-Amanduskerk,50.8815836900,3.9547939310,43
707,Sint-Gertrudiskerk,50.8263788500,4.2098498690,43
782,Sint-Eligiuskerk,51.1071563700,3.9000578140,43
838,Onze-Lieve-Vrouw en Sint-Petruskerk,51.1329931600,3.8621887110,43
977,WZC Sint-Vincentius,51.1350988500,3.8627584570,43
1274,Hart-van-Mariakerk,51.1112007900,4.6353973870,43
1505,Sint-Rumolduskerk,51.0834818100,4.6679933220,43
1525,0,50.8772381400,4.0970163930,43
1630,Sint-Rumolduskerk,50.8342894600,4.1920705540,43
1638,Sint-Lambertuskerk,51.1281045000,4.6752263820,43
1655,Sint-Amanduskerk,50.8828499700,4.0825457870,43
1702,Onze-Lieve-Vrouwekerk,50.8859633600,4.5421801110,43
2196,0,50.8119838200,3.2995471860,43
2320,Sint-Pieterskerk,51.1185572000,4.6609854930,43
4,Onze-Lieve-Vrouwkerk,51.1096450300,4.3277434860,42
1816,Sint-Annakerk,50.8951867600,4.0734035300,42
2450,Kapel OLV Van Bijstand,50.8969332700,4.0123757090,42
2498,Sint-Jozefkerk,51.0977913700,4.3401480560,42
2501,Onze-Lieve-Vrouw ter Noodkerk,50.8773412500,4.0651275770,42
418,Sint-Leonarduskerk,51.0444216300,4.3262536420,41
691,Sint-Jozefkerk,51.0602495000,4.2806674910,41
1366,Onze-Lieve-Vrouw-ten-Traankerk,51.0739865600,4.2945853380,41
157,Sint-Pieterskerk,51.0766636300,4.2760609880,40
312,Sint-Remigiuskerk,51.0573329500,4.6714026030,40
1828,Sint-Gertrudiskerk,50.8719039600,4.1763906640,40
1846,Sint-Rita,50.8407405300,3.2929795140,40
2015,Sint-Niklaaskerk,51.0564444800,4.6298097320,40
2028,Sint-Jozefkerk,50.8762219600,4.1299387880,40
219,Sint-Gerardus Majellakerk,51.0286063100,4.6562639600,39
296,Sint-Margarethakerk,51.1064162100,4.2980569270,39
2000,Sint-Jozefkerk,51.0385421000,4.5889761110,39
81,Heilige Familiekerk,50.9799061500,4.5297863000,38
